date,dish,sales
2025-06-29,Pickled mustard greens flavor - Sea bass,2.0
2025-06-29,Pickled mustard greens flavor - Qian fish,2.0
2025-06-29,Green pepper flavor - Jiangtuan,11.0
2025-06-29,Green pepper flavor - Sea bass,11.0
2025-06-29,Green pepper flavor - Qian fish,11.0
2025-06-29,Mala flavor - Jiangtuan,37.0
2025-06-29,Mala flavor - Sea bass,37.0
2025-06-29,Mala flavor - Qian fish,38.0
2025-06-30,Chicken knee cartilage,40.0
2025-06-30,Grilled lamb skewers,98.0
2025-06-30,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-06-30,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-06-30,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-06-30,Garlic flavor - Jiangtuan,4.0
2025-06-30,Garlic flavor - Sea bass,4.0
2025-06-30,Garlic flavor - Qian fish,10.0
2025-06-30,Pickled mustard greens flavor - Jiangtuan,1.0
2025-06-30,Pickled mustard greens flavor - Sea bass,1.0
2025-06-30,Pickled mustard greens flavor - Qian fish,3.0
2025-06-30,Green pepper flavor - Jiangtuan,7.0
2025-06-30,Green pepper flavor - Sea bass,7.0
2025-06-30,Green pepper flavor - Qian fish,11.0
2025-06-30,Mala flavor - Jiangtuan,22.0
2025-06-30,Mala flavor - Sea bass,23.0
2025-06-30,Mala flavor - Qian fish,41.0
2025-07-01,Chicken knee cartilage,59.0
2025-07-01,Grilled lamb skewers,88.0
2025-07-01,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-07-01,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-07-01,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-07-01,Garlic flavor - Jiangtuan,8.0
2025-07-01,Garlic flavor - Sea bass,8.0
2025-07-01,Garlic flavor - Qian fish,12.0
2025-07-01,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-01,Pickled mustard greens flavor - Sea bass,2.0
2025-07-01,Pickled mustard greens flavor - Qian fish,5.0
2025-07-01,Green pepper flavor - Jiangtuan,7.0
2025-07-01,Green pepper flavor - Sea bass,7.0
2025-07-01,Green pepper flavor - Qian fish,12.0
2025-07-01,Mala flavor - Jiangtuan,23.0
2025-07-01,Mala flavor - Sea bass,24.0
2025-07-01,Mala flavor - Qian fish,38.0
2025-07-02,Chicken knee cartilage,29.0
2025-07-02,Grilled lamb skewers,44.0
2025-07-02,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-02,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-02,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-02,Garlic flavor - Jiangtuan,8.0
2025-07-02,Garlic flavor - Sea bass,8.0
2025-07-02,Garlic flavor - Qian fish,15.0
2025-07-02,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-02,Pickled mustard greens flavor - Sea bass,2.0
2025-07-02,Pickled mustard greens flavor - Qian fish,5.0
2025-07-02,Green pepper flavor - Jiangtuan,4.0
2025-07-02,Green pepper flavor - Sea bass,4.0
2025-07-02,Green pepper flavor - Qian fish,5.0
2025-07-02,Mala flavor - Jiangtuan,20.0
2025-07-02,Mala flavor - Sea bass,20.0
2025-07-02,Mala flavor - Qian fish,41.0
2025-07-03,Chicken knee cartilage,60.0
2025-07-03,Grilled lamb skewers,98.0
2025-07-03,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-07-03,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-07-03,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-07-03,Garlic flavor - Jiangtuan,4.0
2025-07-03,Garlic flavor - Sea bass,4.0
2025-07-03,Garlic flavor - Qian fish,12.0
2025-07-03,Pickled mustard greens flavor - Jiangtuan,3.0
2025-07-03,Pickled mustard greens flavor - Sea bass,3.0
2025-07-03,Pickled mustard greens flavor - Qian fish,4.0
2025-07-03,Green pepper flavor - Jiangtuan,6.0
2025-07-03,Green pepper flavor - Sea bass,6.0
2025-07-03,Green pepper flavor - Qian fish,6.0
2025-07-03,Mala flavor - Jiangtuan,30.0
2025-07-03,Mala flavor - Sea bass,30.0
2025-07-03,Mala flavor - Qian fish,45.0
2025-07-04,Chicken knee cartilage,38.0
2025-07-04,Grilled lamb skewers,87.0
2025-07-04,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-04,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-04,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-04,Garlic flavor - Jiangtuan,5.0
2025-07-04,Garlic flavor - Sea bass,5.0
2025-07-04,Garlic flavor - Qian fish,16.0
2025-07-04,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-04,Pickled mustard greens flavor - Sea bass,2.0
2025-07-04,Pickled mustard greens flavor - Qian fish,4.0
2025-07-04,Green pepper flavor - Jiangtuan,5.0
2025-07-04,Green pepper flavor - Sea bass,5.0
2025-07-04,Green pepper flavor - Qian fish,12.0
2025-07-04,Mala flavor - Jiangtuan,28.0
2025-07-04,Mala flavor - Sea bass,28.0
2025-07-04,Mala flavor - Qian fish,44.0
2025-07-05,Chicken knee cartilage,69.0
2025-07-05,Grilled lamb skewers,110.0
2025-07-05,Old-jar pickled mustard greens flavor - Jiangtuan,5.0
2025-07-05,Old-jar pickled mustard greens flavor - Sea bass,5.0
2025-07-05,Old-jar pickled mustard greens flavor - Qian fish,5.0
2025-07-05,Garlic flavor - Jiangtuan,12.0
2025-07-05,Garlic flavor - Sea bass,12.0
2025-07-05,Garlic flavor - Qian fish,23.0
2025-07-05,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-05,Pickled mustard greens flavor - Sea bass,1.0
2025-07-05,Pickled mustard greens flavor - Qian fish,2.0
2025-07-05,Green pepper flavor - Jiangtuan,10.0
2025-07-05,Green pepper flavor - Sea bass,10.0
2025-07-05,Green pepper flavor - Qian fish,10.0
2025-07-05,Mala flavor - Jiangtuan,26.0
2025-07-05,Mala flavor - Sea bass,26.0
2025-07-05,Mala flavor - Qian fish,26.0
2025-07-06,Chicken knee cartilage,74.0
2025-07-06,Grilled lamb skewers,88.0
2025-07-06,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-06,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-06,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-06,Garlic flavor - Jiangtuan,11.0
2025-07-06,Garlic flavor - Sea bass,11.0
2025-07-06,Garlic flavor - Qian fish,25.0
2025-07-06,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-06,Pickled mustard greens flavor - Sea bass,1.0
2025-07-06,Pickled mustard greens flavor - Qian fish,2.0
2025-07-06,Green pepper flavor - Jiangtuan,9.0
2025-07-06,Green pepper flavor - Sea bass,9.0
2025-07-06,Green pepper flavor - Qian fish,10.0
2025-07-06,Mala flavor - Jiangtuan,28.0
2025-07-06,Mala flavor - Sea bass,28.0
2025-07-06,Mala flavor - Qian fish,29.0
2025-07-07,Chicken knee cartilage,22.0
2025-07-07,Grilled lamb skewers,40.0
2025-07-07,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-07,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-07,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-07,Garlic flavor - Jiangtuan,5.0
2025-07-07,Garlic flavor - Sea bass,5.0
2025-07-07,Garlic flavor - Qian fish,9.0
2025-07-07,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-07,Pickled mustard greens flavor - Sea bass,2.0
2025-07-07,Pickled mustard greens flavor - Qian fish,5.0
2025-07-07,Green pepper flavor - Jiangtuan,4.0
2025-07-07,Green pepper flavor - Sea bass,3.0
2025-07-07,Green pepper flavor - Qian fish,4.0
2025-07-07,Mala flavor - Jiangtuan,16.0
2025-07-07,Mala flavor - Sea bass,16.0
2025-07-07,Mala flavor - Qian fish,33.0
2025-07-08,Chicken knee cartilage,54.0
2025-07-08,Grilled lamb skewers,67.0
2025-07-08,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-08,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-08,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-08,Garlic flavor - Jiangtuan,8.0
2025-07-08,Garlic flavor - Sea bass,8.0
2025-07-08,Garlic flavor - Qian fish,9.0
2025-07-08,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-08,Pickled mustard greens flavor - Sea bass,1.0
2025-07-08,Pickled mustard greens flavor - Qian fish,4.0
2025-07-08,Green pepper flavor - Jiangtuan,6.0
2025-07-08,Green pepper flavor - Sea bass,6.0
2025-07-08,Green pepper flavor - Qian fish,10.0
2025-07-08,Mala flavor - Jiangtuan,14.0
2025-07-08,Mala flavor - Sea bass,14.0
2025-07-08,Mala flavor - Qian fish,31.0
2025-07-09,Chicken knee cartilage,37.0
2025-07-09,Grilled lamb skewers,67.0
2025-07-09,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-09,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-09,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-09,Garlic flavor - Jiangtuan,6.0
2025-07-09,Garlic flavor - Sea bass,6.0
2025-07-09,Garlic flavor - Qian fish,12.0
2025-07-09,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-09,Pickled mustard greens flavor - Sea bass,1.0
2025-07-09,Pickled mustard greens flavor - Qian fish,1.0
2025-07-09,Green pepper flavor - Jiangtuan,6.0
2025-07-09,Green pepper flavor - Sea bass,6.0
2025-07-09,Green pepper flavor - Qian fish,7.0
2025-07-09,Mala flavor - Jiangtuan,21.0
2025-07-09,Mala flavor - Sea bass,21.0
2025-07-09,Mala flavor - Qian fish,42.0
2025-07-10,Chicken knee cartilage,82.0
2025-07-10,Grilled lamb skewers,118.0
2025-07-10,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-10,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-10,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-10,Garlic flavor - Jiangtuan,8.0
2025-07-10,Garlic flavor - Sea bass,8.0
2025-07-10,Garlic flavor - Qian fish,16.0
2025-07-10,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-10,Pickled mustard greens flavor - Sea bass,2.0
2025-07-10,Pickled mustard greens flavor - Qian fish,4.0
2025-07-10,Green pepper flavor - Jiangtuan,5.0
2025-07-10,Green pepper flavor - Sea bass,5.0
2025-07-10,Green pepper flavor - Qian fish,8.0
2025-07-10,Mala flavor - Jiangtuan,20.0
2025-07-10,Mala flavor - Sea bass,20.0
2025-07-10,Mala flavor - Qian fish,32.0
2025-07-11,Chicken knee cartilage,74.0
2025-07-11,Grilled lamb skewers,112.0
2025-07-11,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-11,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-11,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-11,Garlic flavor - Jiangtuan,8.0
2025-07-11,Garlic flavor - Sea bass,7.0
2025-07-11,Garlic flavor - Qian fish,17.0
2025-07-11,Pickled mustard greens flavor - Jiangtuan,4.0
2025-07-11,Pickled mustard greens flavor - Sea bass,4.0
2025-07-11,Pickled mustard greens flavor - Qian fish,7.0
2025-07-11,Green pepper flavor - Jiangtuan,10.0
2025-07-11,Green pepper flavor - Sea bass,9.0
2025-07-11,Green pepper flavor - Qian fish,12.0
2025-07-11,Mala flavor - Jiangtuan,35.0
2025-07-11,Mala flavor - Sea bass,34.0
2025-07-11,Mala flavor - Qian fish,44.0
2025-07-12,Chicken knee cartilage,89.0
2025-07-12,Grilled lamb skewers,106.0
2025-07-12,Old-jar pickled mustard greens flavor - Jiangtuan,5.0
2025-07-12,Old-jar pickled mustard greens flavor - Sea bass,5.0
2025-07-12,Old-jar pickled mustard greens flavor - Qian fish,5.0
2025-07-12,Garlic flavor - Jiangtuan,9.0
2025-07-12,Garlic flavor - Sea bass,9.0
2025-07-12,Garlic flavor - Qian fish,20.0
2025-07-12,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-12,Pickled mustard greens flavor - Sea bass,3.0
2025-07-12,Pickled mustard greens flavor - Qian fish,2.0
2025-07-12,Green pepper flavor - Jiangtuan,9.0
2025-07-12,Green pepper flavor - Sea bass,10.0
2025-07-12,Green pepper flavor - Qian fish,10.0
2025-07-12,Mala flavor - Jiangtuan,28.0
2025-07-12,Mala flavor - Sea bass,28.0
2025-07-12,Mala flavor - Qian fish,28.0
2025-07-13,Chicken knee cartilage,68.0
2025-07-13,Grilled lamb skewers,123.0
2025-07-13,Old-jar pickled mustard greens flavor - Jiangtuan,6.0
2025-07-13,Old-jar pickled mustard greens flavor - Sea bass,6.0
2025-07-13,Old-jar pickled mustard greens flavor - Qian fish,6.0
2025-07-13,Garlic flavor - Jiangtuan,7.0
2025-07-13,Garlic flavor - Sea bass,7.0
2025-07-13,Garlic flavor - Qian fish,19.0
2025-07-13,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-13,Pickled mustard greens flavor - Sea bass,1.0
2025-07-13,Pickled mustard greens flavor - Qian fish,1.0
2025-07-13,Green pepper flavor - Jiangtuan,13.0
2025-07-13,Green pepper flavor - Sea bass,13.0
2025-07-13,Green pepper flavor - Qian fish,13.0
2025-07-13,Mala flavor - Jiangtuan,29.0
2025-07-13,Mala flavor - Sea bass,29.0
2025-07-13,Mala flavor - Qian fish,30.0
2025-07-14,Chicken knee cartilage,58.0
2025-07-14,Grilled lamb skewers,100.0
2025-07-14,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-14,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-14,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-14,Garlic flavor - Jiangtuan,7.0
2025-07-14,Garlic flavor - Sea bass,6.0
2025-07-14,Garlic flavor - Qian fish,11.0
2025-07-14,Pickled mustard greens flavor - Jiangtuan,3.0
2025-07-14,Pickled mustard greens flavor - Sea bass,2.0
2025-07-14,Pickled mustard greens flavor - Qian fish,4.0
2025-07-14,Green pepper flavor - Jiangtuan,6.0
2025-07-14,Green pepper flavor - Sea bass,6.0
2025-07-14,Green pepper flavor - Qian fish,12.0
2025-07-14,Mala flavor - Jiangtuan,24.0
2025-07-14,Mala flavor - Sea bass,24.0
2025-07-14,Mala flavor - Qian fish,48.0
2025-07-15,Chicken knee cartilage,57.0
2025-07-15,Grilled lamb skewers,89.0
2025-07-15,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-15,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-15,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-15,Garlic flavor - Jiangtuan,6.0
2025-07-15,Garlic flavor - Sea bass,6.0
2025-07-15,Garlic flavor - Qian fish,12.0
2025-07-15,Pickled mustard greens flavor - Jiangtuan,3.0
2025-07-15,Pickled mustard greens flavor - Sea bass,3.0
2025-07-15,Pickled mustard greens flavor - Qian fish,4.0
2025-07-15,Green pepper flavor - Jiangtuan,4.0
2025-07-15,Green pepper flavor - Sea bass,4.0
2025-07-15,Green pepper flavor - Qian fish,7.0
2025-07-15,Mala flavor - Jiangtuan,24.0
2025-07-15,Mala flavor - Sea bass,24.0
2025-07-15,Mala flavor - Qian fish,44.0
2025-07-16,Chicken knee cartilage,52.0
2025-07-16,Grilled lamb skewers,96.0
2025-07-16,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-16,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-16,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-16,Garlic flavor - Jiangtuan,5.0
2025-07-16,Garlic flavor - Sea bass,5.0
2025-07-16,Garlic flavor - Qian fish,12.0
2025-07-16,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-16,Pickled mustard greens flavor - Sea bass,1.0
2025-07-16,Pickled mustard greens flavor - Qian fish,5.0
2025-07-16,Green pepper flavor - Jiangtuan,9.0
2025-07-16,Green pepper flavor - Sea bass,9.0
2025-07-16,Green pepper flavor - Qian fish,12.0
2025-07-16,Mala flavor - Jiangtuan,24.0
2025-07-16,Mala flavor - Sea bass,24.0
2025-07-16,Mala flavor - Qian fish,40.0
2025-07-17,Chicken knee cartilage,58.0
2025-07-17,Grilled lamb skewers,54.0
2025-07-17,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-17,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-17,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-17,Garlic flavor - Jiangtuan,5.0
2025-07-17,Garlic flavor - Sea bass,6.0
2025-07-17,Garlic flavor - Qian fish,11.0
2025-07-17,Pickled mustard greens flavor - Jiangtuan,3.0
2025-07-17,Pickled mustard greens flavor - Sea bass,3.0
2025-07-17,Pickled mustard greens flavor - Qian fish,5.0
2025-07-17,Green pepper flavor - Jiangtuan,9.0
2025-07-17,Green pepper flavor - Sea bass,9.0
2025-07-17,Green pepper flavor - Qian fish,12.0
2025-07-17,Mala flavor - Jiangtuan,23.0
2025-07-17,Mala flavor - Sea bass,23.0
2025-07-17,Mala flavor - Qian fish,40.0
2025-07-18,Chicken knee cartilage,97.0
2025-07-18,Grilled lamb skewers,83.0
2025-07-18,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-07-18,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-07-18,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-07-18,Garlic flavor - Jiangtuan,9.0
2025-07-18,Garlic flavor - Sea bass,9.0
2025-07-18,Garlic flavor - Qian fish,19.0
2025-07-18,Pickled mustard greens flavor - Jiangtuan,3.0
2025-07-18,Pickled mustard greens flavor - Sea bass,3.0
2025-07-18,Pickled mustard greens flavor - Qian fish,5.0
2025-07-18,Green pepper flavor - Jiangtuan,6.0
2025-07-18,Green pepper flavor - Sea bass,6.0
2025-07-18,Green pepper flavor - Qian fish,7.0
2025-07-18,Mala flavor - Jiangtuan,30.0
2025-07-18,Mala flavor - Sea bass,30.0
2025-07-18,Mala flavor - Qian fish,36.0
2025-07-19,Chicken knee cartilage,89.0
2025-07-19,Grilled lamb skewers,113.0
2025-07-19,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-19,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-19,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-19,Garlic flavor - Jiangtuan,9.0
2025-07-19,Garlic flavor - Sea bass,8.0
2025-07-19,Garlic flavor - Qian fish,23.0
2025-07-19,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-19,Pickled mustard greens flavor - Sea bass,1.0
2025-07-19,Pickled mustard greens flavor - Qian fish,1.0
2025-07-19,Green pepper flavor - Jiangtuan,10.0
2025-07-19,Green pepper flavor - Sea bass,10.0
2025-07-19,Green pepper flavor - Qian fish,10.0
2025-07-19,Mala flavor - Jiangtuan,28.0
2025-07-19,Mala flavor - Sea bass,28.0
2025-07-19,Mala flavor - Qian fish,28.0
2025-07-20,Chicken knee cartilage,85.0
2025-07-20,Grilled lamb skewers,99.0
2025-07-20,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-20,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-20,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-20,Garlic flavor - Jiangtuan,9.0
2025-07-20,Garlic flavor - Sea bass,9.0
2025-07-20,Garlic flavor - Qian fish,29.0
2025-07-20,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-20,Pickled mustard greens flavor - Sea bass,2.0
2025-07-20,Pickled mustard greens flavor - Qian fish,2.0
2025-07-20,Green pepper flavor - Jiangtuan,13.0
2025-07-20,Green pepper flavor - Sea bass,14.0
2025-07-20,Green pepper flavor - Qian fish,14.0
2025-07-20,Mala flavor - Jiangtuan,20.0
2025-07-20,Mala flavor - Sea bass,21.0
2025-07-20,Mala flavor - Qian fish,21.0
2025-07-21,Chicken knee cartilage,44.0
2025-07-21,Grilled lamb skewers,88.0
2025-07-21,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-21,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-21,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-21,Garlic flavor - Jiangtuan,7.0
2025-07-21,Garlic flavor - Sea bass,7.0
2025-07-21,Garlic flavor - Qian fish,13.0
2025-07-21,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-21,Pickled mustard greens flavor - Sea bass,1.0
2025-07-21,Pickled mustard greens flavor - Qian fish,2.0
2025-07-21,Green pepper flavor - Jiangtuan,6.0
2025-07-21,Green pepper flavor - Sea bass,6.0
2025-07-21,Green pepper flavor - Qian fish,6.0
2025-07-21,Mala flavor - Jiangtuan,26.0
2025-07-21,Mala flavor - Sea bass,25.0
2025-07-21,Mala flavor - Qian fish,26.0
2025-07-22,Chicken knee cartilage,46.0
2025-07-22,Grilled lamb skewers,76.0
2025-07-22,Old-jar pickled mustard greens flavor - Jiangtuan,3.0
2025-07-22,Old-jar pickled mustard greens flavor - Sea bass,3.0
2025-07-22,Old-jar pickled mustard greens flavor - Qian fish,3.0
2025-07-22,Garlic flavor - Jiangtuan,5.0
2025-07-22,Garlic flavor - Sea bass,5.0
2025-07-22,Garlic flavor - Qian fish,15.0
2025-07-22,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-22,Pickled mustard greens flavor - Sea bass,1.0
2025-07-22,Pickled mustard greens flavor - Qian fish,1.0
2025-07-22,Green pepper flavor - Jiangtuan,5.0
2025-07-22,Green pepper flavor - Sea bass,5.0
2025-07-22,Green pepper flavor - Qian fish,5.0
2025-07-22,Mala flavor - Jiangtuan,22.0
2025-07-22,Mala flavor - Sea bass,22.0
2025-07-22,Mala flavor - Qian fish,23.0
2025-07-23,Chicken knee cartilage,46.0
2025-07-23,Grilled lamb skewers,71.0
2025-07-23,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-23,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-23,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-23,Garlic flavor - Jiangtuan,5.0
2025-07-23,Garlic flavor - Sea bass,5.0
2025-07-23,Garlic flavor - Qian fish,9.0
2025-07-23,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-23,Pickled mustard greens flavor - Sea bass,1.0
2025-07-23,Pickled mustard greens flavor - Qian fish,1.0
2025-07-23,Green pepper flavor - Jiangtuan,6.0
2025-07-23,Green pepper flavor - Sea bass,6.0
2025-07-23,Green pepper flavor - Qian fish,6.0
2025-07-23,Mala flavor - Jiangtuan,19.0
2025-07-23,Mala flavor - Sea bass,19.0
2025-07-23,Mala flavor - Qian fish,20.0
2025-07-24,Chicken knee cartilage,40.0
2025-07-24,Grilled lamb skewers,56.0
2025-07-24,Old-jar pickled mustard greens flavor - Jiangtuan,1.0
2025-07-24,Old-jar pickled mustard greens flavor - Sea bass,1.0
2025-07-24,Old-jar pickled mustard greens flavor - Qian fish,1.0
2025-07-24,Garlic flavor - Jiangtuan,5.0
2025-07-24,Garlic flavor - Sea bass,5.0
2025-07-24,Garlic flavor - Qian fish,9.0
2025-07-24,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-24,Pickled mustard greens flavor - Sea bass,1.0
2025-07-24,Pickled mustard greens flavor - Qian fish,2.0
2025-07-24,Green pepper flavor - Jiangtuan,5.0
2025-07-24,Green pepper flavor - Sea bass,5.0
2025-07-24,Green pepper flavor - Qian fish,5.0
2025-07-24,Mala flavor - Jiangtuan,22.0
2025-07-24,Mala flavor - Sea bass,22.0
2025-07-24,Mala flavor - Qian fish,23.0
2025-07-25,Chicken knee cartilage,58.0
2025-07-25,Grilled lamb skewers,95.0
2025-07-25,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-07-25,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-07-25,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-07-25,Garlic flavor - Jiangtuan,6.0
2025-07-25,Garlic flavor - Sea bass,6.0
2025-07-25,Garlic flavor - Qian fish,20.0
2025-07-25,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-25,Pickled mustard greens flavor - Sea bass,2.0
2025-07-25,Pickled mustard greens flavor - Qian fish,2.0
2025-07-25,Green pepper flavor - Jiangtuan,8.0
2025-07-25,Green pepper flavor - Sea bass,8.0
2025-07-25,Green pepper flavor - Qian fish,8.0
2025-07-25,Mala flavor - Jiangtuan,27.0
2025-07-25,Mala flavor - Sea bass,28.0
2025-07-25,Mala flavor - Qian fish,28.0
2025-07-26,Chicken knee cartilage,97.0
2025-07-26,Grilled lamb skewers,136.0
2025-07-26,Old-jar pickled mustard greens flavor - Jiangtuan,4.0
2025-07-26,Old-jar pickled mustard greens flavor - Sea bass,4.0
2025-07-26,Old-jar pickled mustard greens flavor - Qian fish,4.0
2025-07-26,Garlic flavor - Jiangtuan,10.0
2025-07-26,Garlic flavor - Sea bass,11.0
2025-07-26,Garlic flavor - Qian fish,26.0
2025-07-26,Pickled mustard greens flavor - Jiangtuan,2.0
2025-07-26,Pickled mustard greens flavor - Sea bass,2.0
2025-07-26,Pickled mustard greens flavor - Qian fish,2.0
2025-07-26,Green pepper flavor - Jiangtuan,8.0
2025-07-26,Green pepper flavor - Sea bass,8.0
2025-07-26,Green pepper flavor - Qian fish,8.0
2025-07-26,Mala flavor - Jiangtuan,27.0
2025-07-26,Mala flavor - Sea bass,27.0
2025-07-26,Mala flavor - Qian fish,27.0
2025-07-27,Chicken knee cartilage,104.0
2025-07-27,Grilled lamb skewers,143.0
2025-07-27,Old-jar pickled mustard greens flavor - Jiangtuan,5.0
2025-07-27,Old-jar pickled mustard greens flavor - Sea bass,5.0
2025-07-27,Old-jar pickled mustard greens flavor - Qian fish,5.0
2025-07-27,Garlic flavor - Jiangtuan,9.0
2025-07-27,Garlic flavor - Sea bass,9.0
2025-07-27,Garlic flavor - Qian fish,23.0
2025-07-27,Pickled mustard greens flavor - Jiangtuan,4.0
2025-07-27,Pickled mustard greens flavor - Sea bass,4.0
2025-07-27,Pickled mustard greens flavor - Qian fish,4.0
2025-07-27,Green pepper flavor - Jiangtuan,10.0
2025-07-27,Green pepper flavor - Sea bass,10.0
2025-07-27,Green pepper flavor - Qian fish,10.0
2025-07-27,Mala flavor - Jiangtuan,23.0
2025-07-27,Mala flavor - Sea bass,23.0
2025-07-27,Mala flavor - Qian fish,23.0
2025-07-28,Chicken knee cartilage,38.0
2025-07-28,Grilled lamb skewers,57.0
2025-07-28,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-28,Old-jar pickled mustard greens flavor - Sea bass,2.0
2025-07-28,Old-jar pickled mustard greens flavor - Qian fish,2.0
2025-07-28,Garlic flavor - Jiangtuan,4.0
2025-07-28,Garlic flavor - Sea bass,4.0
2025-07-28,Garlic flavor - Qian fish,12.0
2025-07-28,Pickled mustard greens flavor - Jiangtuan,1.0
2025-07-28,Pickled mustard greens flavor - Sea bass,1.0
2025-07-28,Pickled mustard greens flavor - Qian fish,1.0
2025-07-28,Green pepper flavor - Jiangtuan,5.0
2025-07-28,Green pepper flavor - Sea bass,5.0
2025-07-28,Green pepper flavor - Qian fish,5.0
2025-07-28,Mala flavor - Jiangtuan,22.0
2025-07-28,Mala flavor - Sea bass,22.0
2025-07-28,Mala flavor - Qian fish,22.0
2025-07-29,Chicken knee cartilage,73.0
2025-07-29,Grilled lamb skewers,49.0
2025-07-29,Old-jar pickled mustard greens flavor - Jiangtuan,2.0
2025-07-29,Old-jar pickled mustard greens flavor - Sea bass,2.0
